요일,출발,도착,이동인구(합),x1,y1,x2,y2
주중,11230,11220,13724.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주중,11220,11230,10606.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주중,11140,11130,10445.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주말,11230,11220,9000.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주중,11230,11240,7680.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주중,11130,11140,7315.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주말,11140,11130,6346.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주말,11220,11230,5572.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주중,11160,11150,5470.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주중,11020,11010,5329.0,37.5610027777777,126.999641666666,37.5703777777777,126.981641666666
주중,11150,11160,5190.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주중,11050,11040,5174.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주중,11230,11210,4949.0,37.514575,127.049555555555,37.4753861111111,126.953844444444
주중,11230,11050,4846.0,37.514575,127.049555555555,37.5357388888888,127.084533333333
주중,11240,11250,4753.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주중,11010,11020,4645.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주중,11140,11120,4329.0,37.5607055555555,126.910530555555,37.5096555555555,126.941575
주중,11200,11210,4006.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주중,11210,11200,3987.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주중,11230,11040,3894.0,37.514575,127.049555555555,37.5606111111111,127.039
주말,11230,11240,3892.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주말,11130,11140,3800.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주중,11140,11160,3792.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주중,11240,11230,3755.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주중,11090,11100,3683.0,37.6369555555555,127.027719444444,37.6658333333333,127.049522222222
주중,11040,11050,3480.0,37.5606111111111,127.039,37.5357388888888,127.084533333333
주중,11020,11060,3467.0,37.5610027777777,126.999641666666,37.571625,127.042141666666
주중,11010,11080,3352.0,37.5703777777777,126.981641666666,37.5863833333333,127.020333333333
주중,11190,11170,3304.0,37.5236111111111,126.898341666666,37.49265,126.889597222222
주중,11040,11060,3235.0,37.5606111111111,127.039,37.571625,127.042141666666
주중,11140,11190,3213.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주중,11250,11240,3170.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주중,11020,11040,3164.0,37.5610027777777,126.999641666666,37.5606111111111,127.039
주중,11220,11210,3118.0,37.4807861111111,127.034811111111,37.4753861111111,126.953844444444
주중,11090,11080,3047.0,37.6369555555555,127.027719444444,37.5863833333333,127.020333333333
주중,11220,11200,3021.0,37.4807861111111,127.034811111111,37.5096555555555,126.941575
주중,11130,11120,3006.0,37.5763666666666,126.938897222222,37.5096555555555,126.941575
주중,11230,11030,2999.0,37.514575,127.049555555555,37.5360944444444,126.967522222222
주중,11020,11080,2990.0,37.5610027777777,126.999641666666,37.5863833333333,127.020333333333
주중,11080,11060,2950.0,37.5863833333333,127.020333333333,37.571625,127.042141666666
주말,11160,11150,2938.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주말,11140,11120,2866.0,37.5607055555555,126.910530555555,37.5096555555555,126.941575
주중,11140,11030,2846.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주중,11110,11100,2820.0,37.6514611111111,127.058388888888,37.6658333333333,127.049522222222
주중,11120,11130,2804.0,37.5096555555555,126.941575,37.5763666666666,126.938897222222
주중,11190,11200,2793.0,37.5236111111111,126.898341666666,37.5096555555555,126.941575
주중,11240,11050,2779.0,37.5117555555555,127.107930555555,37.5357388888888,127.084533333333
주중,11030,11140,2778.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주말,11150,11160,2712.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주말,11050,11040,2704.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주말,11230,11210,2615.0,37.514575,127.049555555555,37.4753861111111,126.953844444444
주말,11240,11250,2550.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주말,11030,11140,2529.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주중,11060,11040,2497.0,37.571625,127.042141666666,37.5606111111111,127.039
주중,11190,11210,2466.0,37.5236111111111,126.898341666666,37.4753861111111,126.953844444444
주중,11080,11090,2458.0,37.5863833333333,127.020333333333,37.6369555555555,127.027719444444
주말,11140,11160,2448.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주말,11140,11030,2443.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주말,11140,11190,2438.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
