요일,출발,도착,이동인구(합),x1,y1,x2,y2
주중,11220,11230,93582.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주중,11230,11220,88577.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주중,11130,11140,66300.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주중,11230,11240,55103.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주중,11140,11130,50572.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주중,11160,11150,48867.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주중,11150,11160,45738.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주중,11240,11230,45605.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주중,11250,11240,40589.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주중,11010,11020,37504.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주중,11240,11250,34711.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주중,11020,11010,34193.0,37.5610027777777,126.999641666666,37.5703777777777,126.981641666666
주말,11230,11220,33030.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주말,11220,11230,32962.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주중,11200,11210,26956.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주중,11010,11080,26557.0,37.5703777777777,126.981641666666,37.5863833333333,127.020333333333
주중,11090,11080,26170.0,37.6369555555555,127.027719444444,37.5863833333333,127.020333333333
주중,11040,11050,26125.0,37.5606111111111,127.039,37.5357388888888,127.084533333333
주중,11080,11090,25563.0,37.5863833333333,127.020333333333,37.6369555555555,127.027719444444
주중,11130,11120,25256.0,37.5763666666666,126.938897222222,37.5096555555555,126.941575
주중,11210,11200,25168.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주중,11110,11100,24745.0,37.6514611111111,127.058388888888,37.6658333333333,127.049522222222
주중,11220,11200,24649.0,37.4807861111111,127.034811111111,37.5096555555555,126.941575
주말,11230,11240,24500.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주중,11100,11110,24257.0,37.6658333333333,127.049522222222,37.6514611111111,127.058388888888
주말,11130,11140,23935.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주중,11010,11130,23336.0,37.5703777777777,126.981641666666,37.5763666666666,126.938897222222
주중,11050,11040,22779.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주중,11230,11040,22720.0,37.514575,127.049555555555,37.5606111111111,127.039
주중,11190,11140,22593.0,37.5236111111111,126.898341666666,37.5607055555555,126.910530555555
주중,11200,11190,22331.0,37.5096555555555,126.941575,37.5236111111111,126.898341666666
주중,11030,11140,22321.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주중,11190,11170,21890.0,37.5236111111111,126.898341666666,37.49265,126.889597222222
주말,11140,11130,21619.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주중,11040,11230,21484.0,37.5606111111111,127.039,37.514575,127.049555555555
주중,11020,11040,21285.0,37.5610027777777,126.999641666666,37.5606111111111,127.039
주중,11120,11130,20674.0,37.5096555555555,126.941575,37.5763666666666,126.938897222222
주중,11230,11050,20309.0,37.514575,127.049555555555,37.5357388888888,127.084533333333
주중,11170,11190,20233.0,37.49265,126.889597222222,37.5236111111111,126.898341666666
주중,11130,11010,20062.0,37.5763666666666,126.938897222222,37.5703777777777,126.981641666666
주중,11190,11200,19997.0,37.5236111111111,126.898341666666,37.5096555555555,126.941575
주중,11080,11010,19952.0,37.5863833333333,127.020333333333,37.5703777777777,126.981641666666
주중,11230,11210,19771.0,37.514575,127.049555555555,37.4753861111111,126.953844444444
주중,11200,11220,19679.0,37.5096555555555,126.941575,37.4807861111111,127.034811111111
주중,11050,11230,19391.0,37.5357388888888,127.084533333333,37.514575,127.049555555555
주중,11060,11080,19195.0,37.571625,127.042141666666,37.5863833333333,127.020333333333
주중,11190,11150,18721.0,37.5236111111111,126.898341666666,37.5142305555555,126.868708333333
주중,11140,11030,18540.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주말,11240,11230,18384.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주중,11140,11190,18380.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주중,11020,11030,18307.0,37.5610027777777,126.999641666666,37.5360944444444,126.967522222222
주중,11060,11040,18109.0,37.571625,127.042141666666,37.5606111111111,127.039
주중,11220,11210,18093.0,37.4807861111111,127.034811111111,37.4753861111111,126.953844444444
주중,11110,11070,17922.0,37.6514611111111,127.058388888888,37.6038055555555,127.094777777777
주중,11100,11090,17434.0,37.6658333333333,127.049522222222,37.6369555555555,127.027719444444
주중,11030,11020,17299.0,37.5360944444444,126.967522222222,37.5610027777777,126.999641666666
주중,11230,11030,17024.0,37.514575,127.049555555555,37.5360944444444,126.967522222222
주중,11120,11140,16677.0,37.5096555555555,126.941575,37.5607055555555,126.910530555555
주중,11040,11060,16563.0,37.5606111111111,127.039,37.571625,127.042141666666
주말,11010,11020,16530.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주중,11190,11160,16235.0,37.5236111111111,126.898341666666,37.5481555555555,126.851675
주중,11050,11240,16173.0,37.5357388888888,127.084533333333,37.5117555555555,127.107930555555
주중,11040,11020,15993.0,37.5606111111111,127.039,37.5610027777777,126.999641666666
주중,11020,11140,15850.0,37.5610027777777,126.999641666666,37.5607055555555,126.910530555555
주중,11080,11060,15849.0,37.5863833333333,127.020333333333,37.571625,127.042141666666
주말,11150,11160,15771.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주중,11090,11100,15418.0,37.6369555555555,127.027719444444,37.6658333333333,127.049522222222
주중,11140,11120,15400.0,37.5607055555555,126.910530555555,37.5096555555555,126.941575
주중,11010,11140,15127.0,37.5703777777777,126.981641666666,37.5607055555555,126.910530555555
주중,11170,11150,15108.0,37.49265,126.889597222222,37.5142305555555,126.868708333333
주말,11020,11010,15066.0,37.5610027777777,126.999641666666,37.5703777777777,126.981641666666
주중,11060,11070,15003.0,37.571625,127.042141666666,37.6038055555555,127.094777777777
주말,11160,11150,14905.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주중,11020,11230,14844.0,37.5610027777777,126.999641666666,37.514575,127.049555555555
주중,11220,11240,14814.0,37.4807861111111,127.034811111111,37.5117555555555,127.107930555555
주중,11030,11230,14772.0,37.5360944444444,126.967522222222,37.514575,127.049555555555
주중,11240,11050,14525.0,37.5117555555555,127.107930555555,37.5357388888888,127.084533333333
주중,11070,11110,14202.0,37.6038055555555,127.094777777777,37.6514611111111,127.058388888888
주중,11230,11020,13804.0,37.514575,127.049555555555,37.5610027777777,126.999641666666
주중,11020,11130,13729.0,37.5610027777777,126.999641666666,37.5763666666666,126.938897222222
주말,11250,11240,13699.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주중,11210,11220,13681.0,37.4753861111111,126.953844444444,37.4807861111111,127.034811111111
주중,11210,11230,13533.0,37.4753861111111,126.953844444444,37.514575,127.049555555555
주중,11230,11140,13323.0,37.514575,127.049555555555,37.5607055555555,126.910530555555
주중,11110,11080,13162.0,37.6514611111111,127.058388888888,37.5863833333333,127.020333333333
주말,11240,11250,13023.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주중,11160,11140,12895.0,37.5481555555555,126.851675,37.5607055555555,126.910530555555
주중,11070,11060,12817.0,37.6038055555555,127.094777777777,37.571625,127.042141666666
주중,11230,11190,12756.0,37.514575,127.049555555555,37.5236111111111,126.898341666666
주중,11160,11190,12587.0,37.5481555555555,126.851675,37.5236111111111,126.898341666666
주중,11230,11200,12510.0,37.514575,127.049555555555,37.5096555555555,126.941575
주중,11150,11190,12440.0,37.5142305555555,126.868708333333,37.5236111111111,126.898341666666
주중,11010,11230,12431.0,37.5703777777777,126.981641666666,37.514575,127.049555555555
주중,11010,11030,12020.0,37.5703777777777,126.981641666666,37.5360944444444,126.967522222222
주중,11220,11030,11800.0,37.4807861111111,127.034811111111,37.5360944444444,126.967522222222
주중,11130,11020,11766.0,37.5763666666666,126.938897222222,37.5610027777777,126.999641666666
주중,11210,11180,11687.0,37.4753861111111,126.953844444444,37.4491083333333,126.904197222222
주중,11140,11160,11558.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주중,11030,11220,11534.0,37.5360944444444,126.967522222222,37.4807861111111,127.034811111111
주중,11080,11110,11436.0,37.5863833333333,127.020333333333,37.6514611111111,127.058388888888
주중,11230,11250,11330.0,37.514575,127.049555555555,37.5273666666666,127.125863888888
주중,11190,11210,11244.0,37.5236111111111,126.898341666666,37.4753861111111,126.953844444444
주중,11180,11210,11225.0,37.4491083333333,126.904197222222,37.4753861111111,126.953844444444
주말,11190,11140,11147.0,37.5236111111111,126.898341666666,37.5607055555555,126.910530555555
주중,11140,11020,11069.0,37.5607055555555,126.910530555555,37.5610027777777,126.999641666666
주중,11190,11230,11011.0,37.5236111111111,126.898341666666,37.514575,127.049555555555
주중,11240,11220,10962.0,37.5117555555555,127.107930555555,37.4807861111111,127.034811111111
주중,11060,11010,10961.0,37.571625,127.042141666666,37.5703777777777,126.981641666666
주말,11170,11190,10777.0,37.49265,126.889597222222,37.5236111111111,126.898341666666
주중,11010,11120,10731.0,37.5703777777777,126.981641666666,37.5096555555555,126.941575
주중,11020,11080,10600.0,37.5610027777777,126.999641666666,37.5863833333333,127.020333333333
주중,11060,11020,10598.0,37.571625,127.042141666666,37.5610027777777,126.999641666666
주중,11180,11170,10585.0,37.4491083333333,126.904197222222,37.49265,126.889597222222
주중,11140,11010,10564.0,37.5607055555555,126.910530555555,37.5703777777777,126.981641666666
주말,11040,11050,10544.0,37.5606111111111,127.039,37.5357388888888,127.084533333333
주중,11150,11170,10516.0,37.5142305555555,126.868708333333,37.49265,126.889597222222
주중,11210,11190,10368.0,37.4753861111111,126.953844444444,37.5236111111111,126.898341666666
주중,11010,11060,10343.0,37.5703777777777,126.981641666666,37.571625,127.042141666666
주중,11230,11010,10247.0,37.514575,127.049555555555,37.5703777777777,126.981641666666
주말,11140,11190,10243.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주중,11080,11020,10236.0,37.5863833333333,127.020333333333,37.5610027777777,126.999641666666
주중,11030,11010,10191.0,37.5360944444444,126.967522222222,37.5703777777777,126.981641666666
주중,11140,11230,10150.0,37.5607055555555,126.910530555555,37.514575,127.049555555555
주중,11130,11030,10027.0,37.5763666666666,126.938897222222,37.5360944444444,126.967522222222
주중,11170,11180,9852.0,37.49265,126.889597222222,37.4491083333333,126.904197222222
주중,11110,11090,9777.0,37.6514611111111,127.058388888888,37.6369555555555,127.027719444444
주말,11200,11210,9687.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주중,11020,11060,9631.0,37.5610027777777,126.999641666666,37.571625,127.042141666666
주중,11010,11040,9515.0,37.5703777777777,126.981641666666,37.5606111111111,127.039
주중,11190,11030,9508.0,37.5236111111111,126.898341666666,37.5360944444444,126.967522222222
주말,11050,11040,9415.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주중,11200,11230,9314.0,37.5096555555555,126.941575,37.514575,127.049555555555
주중,11030,11190,9267.0,37.5360944444444,126.967522222222,37.5236111111111,126.898341666666
주말,11230,11040,9158.0,37.514575,127.049555555555,37.5606111111111,127.039
주말,11190,11170,9001.0,37.5236111111111,126.898341666666,37.49265,126.889597222222
주중,11030,11200,8967.0,37.5360944444444,126.967522222222,37.5096555555555,126.941575
주중,11170,11210,8936.0,37.49265,126.889597222222,37.4753861111111,126.953844444444
주말,11030,11140,8928.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주중,11020,11220,8908.0,37.5610027777777,126.999641666666,37.4807861111111,127.034811111111
주중,11250,11230,8886.0,37.5273666666666,127.125863888888,37.514575,127.049555555555
주말,11140,11030,8883.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주말,11210,11200,8768.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주말,11200,11190,8752.0,37.5096555555555,126.941575,37.5236111111111,126.898341666666
주말,11220,11200,8670.0,37.4807861111111,127.034811111111,37.5096555555555,126.941575
주중,11030,11040,8663.0,37.5360944444444,126.967522222222,37.5606111111111,127.039
주중,11040,11240,8584.0,37.5606111111111,127.039,37.5117555555555,127.107930555555
주중,11090,11110,8429.0,37.6369555555555,127.027719444444,37.6514611111111,127.058388888888
주중,11020,11190,8360.0,37.5610027777777,126.999641666666,37.5236111111111,126.898341666666
주중,11060,11050,8334.0,37.571625,127.042141666666,37.5357388888888,127.084533333333
주중,11220,11190,8313.0,37.4807861111111,127.034811111111,37.5236111111111,126.898341666666
주말,11230,11030,8258.0,37.514575,127.049555555555,37.5360944444444,126.967522222222
