요일,출발,x1,y1,도착,x2,y2,이동인구(합)
주말,11230,37.514575,127.049555555555,11220,37.4807861111111,127.034811111111,17322.0
주말,11140,37.5607055555555,126.910530555555,11130,37.5763666666666,126.938897222222,13008.0
주말,11220,37.4807861111111,127.034811111111,11230,37.514575,127.049555555555,11070.0
주말,11230,37.514575,127.049555555555,11240,37.5117555555555,127.107930555555,10671.0
주말,11130,37.5763666666666,126.938897222222,11140,37.5607055555555,126.910530555555,8369.0
주말,11230,37.514575,127.049555555555,11210,37.4753861111111,126.953844444444,7722.0
주말,11240,37.5117555555555,127.107930555555,11250,37.5273666666666,127.125863888888,7166.0
주말,11140,37.5607055555555,126.910530555555,11120,37.5096555555555,126.941575,7088.0
주말,11150,37.5142305555555,126.868708333333,11160,37.5481555555555,126.851675,6652.0
주말,11160,37.5481555555555,126.851675,11150,37.5142305555555,126.868708333333,6352.0
주말,11230,37.514575,127.049555555555,11050,37.5357388888888,127.084533333333,6001.0
주말,11140,37.5607055555555,126.910530555555,11160,37.5481555555555,126.851675,5801.0
주말,11240,37.5117555555555,127.107930555555,11230,37.514575,127.049555555555,5631.0
주말,11140,37.5607055555555,126.910530555555,11190,37.5236111111111,126.898341666666,5464.0
주말,11140,37.5607055555555,126.910530555555,11210,37.4753861111111,126.953844444444,5418.0
주말,11190,37.5236111111111,126.898341666666,11170,37.49265,126.889597222222,5322.0
주말,11010,37.5703777777777,126.981641666666,11080,37.5863833333333,127.020333333333,5215.0
주말,11220,37.4807861111111,127.034811111111,11210,37.4753861111111,126.953844444444,5170.0
주말,11200,37.5096555555555,126.941575,11210,37.4753861111111,126.953844444444,5018.0
주말,11030,37.5360944444444,126.967522222222,11140,37.5607055555555,126.910530555555,4934.0
주말,11020,37.5610027777777,126.999641666666,11010,37.5703777777777,126.981641666666,4898.0
주말,11140,37.5607055555555,126.910530555555,11030,37.5360944444444,126.967522222222,4877.0
주말,11230,37.514575,127.049555555555,11040,37.5606111111111,127.039,4856.0
주말,11040,37.5606111111111,127.039,11050,37.5357388888888,127.084533333333,4854.0
주말,11210,37.4753861111111,126.953844444444,11200,37.5096555555555,126.941575,4744.0
주말,11050,37.5357388888888,127.084533333333,11040,37.5606111111111,127.039,4699.0
주말,11220,37.4807861111111,127.034811111111,11200,37.5096555555555,126.941575,4662.0
주말,11230,37.514575,127.049555555555,11030,37.5360944444444,126.967522222222,4631.0
주말,11230,37.514575,127.049555555555,11200,37.5096555555555,126.941575,4600.0
주말,11250,37.5273666666666,127.125863888888,11240,37.5117555555555,127.107930555555,4360.0
주말,11190,37.5236111111111,126.898341666666,11210,37.4753861111111,126.953844444444,4335.0
주말,11190,37.5236111111111,126.898341666666,11160,37.5481555555555,126.851675,4076.0
주말,11230,37.514575,127.049555555555,11140,37.5607055555555,126.910530555555,4042.0
주말,11230,37.514575,127.049555555555,11250,37.5273666666666,127.125863888888,3829.0
주말,11190,37.5236111111111,126.898341666666,11200,37.5096555555555,126.941575,3813.0
주말,11240,37.5117555555555,127.107930555555,11050,37.5357388888888,127.084533333333,3764.0
주말,11040,37.5606111111111,127.039,11060,37.571625,127.042141666666,3759.0
주말,11090,37.6369555555555,127.027719444444,11100,37.6658333333333,127.049522222222,3685.0
주말,11030,37.5360944444444,126.967522222222,11230,37.514575,127.049555555555,3677.0
주말,11020,37.5610027777777,126.999641666666,11060,37.571625,127.042141666666,3596.0
주말,11190,37.5236111111111,126.898341666666,11140,37.5607055555555,126.910530555555,3554.0
주말,11020,37.5610027777777,126.999641666666,11080,37.5863833333333,127.020333333333,3487.0
주말,11050,37.5357388888888,127.084533333333,11070,37.6038055555555,127.094777777777,3481.0
주말,11090,37.6369555555555,127.027719444444,11080,37.5863833333333,127.020333333333,3464.0
주말,11110,37.6514611111111,127.058388888888,11100,37.6658333333333,127.049522222222,3438.0
주말,11080,37.5863833333333,127.020333333333,11090,37.6369555555555,127.027719444444,3374.0
주말,11130,37.5763666666666,126.938897222222,11120,37.5096555555555,126.941575,3344.0
주말,11230,37.514575,127.049555555555,11060,37.571625,127.042141666666,3323.0
주말,11020,37.5610027777777,126.999641666666,11040,37.5606111111111,127.039,3305.0
주말,11020,37.5610027777777,126.999641666666,11140,37.5607055555555,126.910530555555,3201.0
주말,11220,37.4807861111111,127.034811111111,11240,37.5117555555555,127.107930555555,3189.0
주말,11230,37.514575,127.049555555555,11190,37.5236111111111,126.898341666666,3142.0
주말,11050,37.5357388888888,127.084533333333,11240,37.5117555555555,127.107930555555,3075.0
주말,11080,37.5863833333333,127.020333333333,11060,37.571625,127.042141666666,3048.0
주말,11010,37.5703777777777,126.981641666666,11020,37.5610027777777,126.999641666666,3048.0
주말,11170,37.49265,126.889597222222,11190,37.5236111111111,126.898341666666,3030.0
주말,11230,37.514575,127.049555555555,11110,37.6514611111111,127.058388888888,3023.0
주말,11050,37.5357388888888,127.084533333333,11060,37.571625,127.042141666666,3021.0
주말,11190,37.5236111111111,126.898341666666,11150,37.5142305555555,126.868708333333,2998.0
주말,11010,37.5703777777777,126.981641666666,11060,37.571625,127.042141666666,2967.0
주말,11140,37.5607055555555,126.910530555555,11080,37.5863833333333,127.020333333333,2930.0
주말,11020,37.5610027777777,126.999641666666,11030,37.5360944444444,126.967522222222,2921.0
주말,11030,37.5360944444444,126.967522222222,11200,37.5096555555555,126.941575,2903.0
주말,11230,37.514575,127.049555555555,11080,37.5863833333333,127.020333333333,2903.0
주말,11230,37.514575,127.049555555555,11160,37.5481555555555,126.851675,2898.0
