요일,출발,도착,이동인구(합),x1,y1,x2,y2
주말,11220,11230,5566.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주말,11240,11230,4470.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주말,11230,11220,4015.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주말,11250,11240,3249.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주말,11140,11130,3242.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주말,11210,11230,2961.0,37.4753861111111,126.953844444444,37.514575,127.049555555555
주말,11160,11150,2833.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주말,11050,11230,2830.0,37.5357388888888,127.084533333333,37.514575,127.049555555555
주말,11210,11220,2721.0,37.4753861111111,126.953844444444,37.4807861111111,127.034811111111
주말,11130,11140,2543.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주말,11200,11220,2479.0,37.5096555555555,126.941575,37.4807861111111,127.034811111111
주말,11240,11250,2471.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주말,11230,11240,2323.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주말,11150,11160,2239.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주말,11200,11230,1915.0,37.5096555555555,126.941575,37.514575,127.049555555555
주말,11210,11200,1854.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주말,11040,11230,1825.0,37.5606111111111,127.039,37.514575,127.049555555555
주말,11070,11230,1732.0,37.6038055555555,127.094777777777,37.514575,127.049555555555
주말,11120,11130,1689.0,37.5096555555555,126.941575,37.5763666666666,126.938897222222
주말,11250,11230,1686.0,37.5273666666666,127.125863888888,37.514575,127.049555555555
주말,11050,11040,1643.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주말,11160,11190,1639.0,37.5481555555555,126.851675,37.5236111111111,126.898341666666
주말,11120,11140,1582.0,37.5096555555555,126.941575,37.5607055555555,126.910530555555
주말,11200,11190,1554.0,37.5096555555555,126.941575,37.5236111111111,126.898341666666
주말,11140,11030,1554.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주말,11080,11010,1541.0,37.5863833333333,127.020333333333,37.5703777777777,126.981641666666
주말,11050,11240,1493.0,37.5357388888888,127.084533333333,37.5117555555555,127.107930555555
주말,11200,11210,1483.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주말,11170,11190,1461.0,37.49265,126.889597222222,37.5236111111111,126.898341666666
주말,11140,11190,1437.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주말,11140,11160,1421.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주말,11090,11080,1398.0,37.6369555555555,127.027719444444,37.5863833333333,127.020333333333
주말,11240,11220,1357.0,37.5117555555555,127.107930555555,37.4807861111111,127.034811111111
주말,11030,11230,1329.0,37.5360944444444,126.967522222222,37.514575,127.049555555555
주말,11210,11190,1314.0,37.4753861111111,126.953844444444,37.5236111111111,126.898341666666
주말,11060,11040,1305.0,37.571625,127.042141666666,37.5606111111111,127.039
주말,11100,11110,1301.0,37.6658333333333,127.049522222222,37.6514611111111,127.058388888888
주말,11080,11020,1294.0,37.5863833333333,127.020333333333,37.5610027777777,126.999641666666
주말,11140,11210,1257.0,37.5607055555555,126.910530555555,37.4753861111111,126.953844444444
주말,11140,11230,1252.0,37.5607055555555,126.910530555555,37.514575,127.049555555555
주말,11150,11190,1189.0,37.5142305555555,126.868708333333,37.5236111111111,126.898341666666
주말,11060,11020,1166.0,37.571625,127.042141666666,37.5610027777777,126.999641666666
주말,11110,11100,1152.0,37.6514611111111,127.058388888888,37.6658333333333,127.049522222222
주말,11160,11140,1151.0,37.5481555555555,126.851675,37.5607055555555,126.910530555555
주말,11070,11060,1144.0,37.6038055555555,127.094777777777,37.571625,127.042141666666
주말,11010,11020,1143.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주말,11100,11090,1141.0,37.6658333333333,127.049522222222,37.6369555555555,127.027719444444
주말,11070,11110,1134.0,37.6038055555555,127.094777777777,37.6514611111111,127.058388888888
주말,11080,11060,1127.0,37.5863833333333,127.020333333333,37.571625,127.042141666666
주말,11190,11230,1108.0,37.5236111111111,126.898341666666,37.514575,127.049555555555
주말,11090,11100,1107.0,37.6369555555555,127.027719444444,37.6658333333333,127.049522222222
주말,11060,11230,1095.0,37.571625,127.042141666666,37.514575,127.049555555555
주말,11170,11150,1095.0,37.49265,126.889597222222,37.5142305555555,126.868708333333
