요일,출발,도착,이동인구(합),x1,y1,x2,y2
주말,11230,11220,4927.0,37.514575,127.049555555555,37.4807861111111,127.034811111111
주말,11220,11230,4059.0,37.4807861111111,127.034811111111,37.514575,127.049555555555
주말,11140,11130,3756.0,37.5607055555555,126.910530555555,37.5763666666666,126.938897222222
주말,11230,11240,1897.0,37.514575,127.049555555555,37.5117555555555,127.107930555555
주말,11130,11140,1731.0,37.5763666666666,126.938897222222,37.5607055555555,126.910530555555
주말,11160,11150,1611.0,37.5481555555555,126.851675,37.5142305555555,126.868708333333
주말,11140,11160,1567.0,37.5607055555555,126.910530555555,37.5481555555555,126.851675
주말,11140,11120,1516.0,37.5607055555555,126.910530555555,37.5096555555555,126.941575
주말,11030,11140,1479.0,37.5360944444444,126.967522222222,37.5607055555555,126.910530555555
주말,11140,11210,1417.0,37.5607055555555,126.910530555555,37.4753861111111,126.953844444444
주말,11050,11040,1402.0,37.5357388888888,127.084533333333,37.5606111111111,127.039
주말,11030,11230,1359.0,37.5360944444444,126.967522222222,37.514575,127.049555555555
주말,11210,11200,1357.0,37.4753861111111,126.953844444444,37.5096555555555,126.941575
주말,11150,11160,1309.0,37.5142305555555,126.868708333333,37.5481555555555,126.851675
주말,11230,11050,1286.0,37.514575,127.049555555555,37.5357388888888,127.084533333333
주말,11140,11190,1271.0,37.5607055555555,126.910530555555,37.5236111111111,126.898341666666
주말,11140,11030,1257.0,37.5607055555555,126.910530555555,37.5360944444444,126.967522222222
주말,11240,11250,1244.0,37.5117555555555,127.107930555555,37.5273666666666,127.125863888888
주말,11240,11230,1240.0,37.5117555555555,127.107930555555,37.514575,127.049555555555
주말,11230,11030,1222.0,37.514575,127.049555555555,37.5360944444444,126.967522222222
주말,11230,11210,1211.0,37.514575,127.049555555555,37.4753861111111,126.953844444444
주말,11090,11100,1187.0,37.6369555555555,127.027719444444,37.6658333333333,127.049522222222
주말,11230,11040,1128.0,37.514575,127.049555555555,37.5606111111111,127.039
주말,11030,11210,948.0,37.5360944444444,126.967522222222,37.4753861111111,126.953844444444
주말,11090,11080,944.0,37.6369555555555,127.027719444444,37.5863833333333,127.020333333333
주말,11010,11020,935.0,37.5703777777777,126.981641666666,37.5610027777777,126.999641666666
주말,11230,11140,935.0,37.514575,127.049555555555,37.5607055555555,126.910530555555
주말,11030,11220,922.0,37.5360944444444,126.967522222222,37.4807861111111,127.034811111111
주말,11250,11240,913.0,37.5273666666666,127.125863888888,37.5117555555555,127.107930555555
주말,11030,11020,846.0,37.5360944444444,126.967522222222,37.5610027777777,126.999641666666
주말,11190,11170,843.0,37.5236111111111,126.898341666666,37.49265,126.889597222222
주말,11110,11100,828.0,37.6514611111111,127.058388888888,37.6658333333333,127.049522222222
주말,11130,11120,801.0,37.5763666666666,126.938897222222,37.5096555555555,126.941575
주말,11110,11070,791.0,37.6514611111111,127.058388888888,37.6038055555555,127.094777777777
주말,11210,11180,780.0,37.4753861111111,126.953844444444,37.4491083333333,126.904197222222
주말,11220,11210,779.0,37.4807861111111,127.034811111111,37.4753861111111,126.953844444444
주말,11010,11080,772.0,37.5703777777777,126.981641666666,37.5863833333333,127.020333333333
주말,11140,11230,766.0,37.5607055555555,126.910530555555,37.514575,127.049555555555
주말,11200,11210,754.0,37.5096555555555,126.941575,37.4753861111111,126.953844444444
주말,11040,11050,752.0,37.5606111111111,127.039,37.5357388888888,127.084533333333
주말,11050,11070,720.0,37.5357388888888,127.084533333333,37.6038055555555,127.094777777777
주말,11120,11130,706.0,37.5096555555555,126.941575,37.5763666666666,126.938897222222
주말,11040,11060,706.0,37.5606111111111,127.039,37.571625,127.042141666666
주말,11140,11150,690.0,37.5607055555555,126.910530555555,37.5142305555555,126.868708333333
주말,11190,11200,687.0,37.5236111111111,126.898341666666,37.5096555555555,126.941575
주말,11190,11160,685.0,37.5236111111111,126.898341666666,37.5481555555555,126.851675
주말,11240,11050,685.0,37.5117555555555,127.107930555555,37.5357388888888,127.084533333333
주말,11020,11010,667.0,37.5610027777777,126.999641666666,37.5703777777777,126.981641666666
주말,11030,11190,667.0,37.5360944444444,126.967522222222,37.5236111111111,126.898341666666
